Hips_x,Hips_y,Hips_z,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftArm_x,LeftArm_y,LeftArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftForeArmRoll_x,LeftForeArmRoll_y,LeftForeArmRoll_z,LeftHand_x,LeftHand_y,LeftHand_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightArm_x,RightArm_y,RightArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightForeArmRoll_x,RightForeArmRoll_y,RightForeArmRoll_z,RightHand_x,RightHand_y,RightHand_z,LeftUpLeg_x,LeftUpLeg_y,LeftUpLeg_z,LeftLeg_x,LeftLeg_y,LeftLeg_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,LeftToeBase_x,LeftToeBase_y,LeftToeBase_z,RightUpLeg_x,RightUpLeg_y,RightUpLeg_z,RightLeg_x,RightLeg_y,RightLeg_z,RightFoot_x,RightFoot_y,RightFoot_z,RightToeBase_x,RightToeBase_y,RightToeBase_z
-91.4242113914175,-384.877472996738,1098.40011982127,-97.3104887353533,-362.25290411405,1178.33956455599,-106.169729037551,-305.276949715476,1281.31101796784,-111.987444734285,-234.097519465192,1399.02684401004,-120.658298908669,-167.043991277081,1518.96855257256,-124.673377537873,-51.2942588455199,1579.21802632417,-148.099066563322,-190.782614801701,1432.50760325818,-312.201198776189,-198.470377994589,1409.09443622172,-367.440147196433,-136.713348424579,1162.55221243818,-336.751350405265,-62.2824026450935,1062.66550515672,-306.062553614097,12.148543134392,962.778797875254,-93.0785197139707,-182.447338722659,1430.64679764354,69.3310205492939,-157.965147894504,1387.70243562561,149.93229668569,-123.685664651983,1155.09496410809,99.0704681643854,-32.7912003492082,1063.42775265329,48.208639643081,58.1032639535677,971.760541198497,-197.258045901964,-419.86030856202,1045.31641063975,-319.406309530142,-283.340130880954,546.112485337501,-244.110398231455,-446.826528446755,70.1143658747825,-310.589881905756,-352.200082884826,42.7741047464282,10.2439014915476,-330.456231265011,1054.30473726192,10.7806650988532,-214.564775149236,537.812227999212,54.6618827000976,-308.095061569034,48.9789088708063,27.5292013851973,-196.976059869932,39.5440723969116
-88.9577247288592,-384.532907917649,1097.81772746222,-94.8404531361982,-361.798117692372,1177.72615644496,-104.017070132459,-304.286317892207,1280.37141118359,-110.270478113171,-232.372787776016,1397.61778376005,-119.27028661956,-164.965793156473,1517.33692730314,-123.55967228287,-49.5878975904658,1578.27675735799,-146.586206525054,-189.11390329294,1430.94987370587,-310.69042441194,-198.443459700292,1408.15616976438,-367.899080195034,-138.940032675676,1161.50894778969,-336.538889727035,-62.8303804241599,1063.1068059552,-305.178699259036,13.2792718273564,964.704664120702,-91.6040646673089,-180.532896864432,1429.07093627753,70.8739433795907,-155.826071361471,1386.51597957357,151.936196356152,-121.715739450507,1154.04387180308,98.0042196926905,-29.1716256649696,1065.84786399015,44.0722430292286,63.3724881205691,977.651856177218,-194.683069618553,-420.187999431061,1044.96561880998,-321.630500459734,-282.013105592222,547.41706361756,-245.811575358572,-446.879815557504,71.9783770121091,-311.847073552193,-352.286703694577,43.4716761461505,12.3412451490671,-329.636012267382,1053.4631443676,10.9515262758969,-213.324057084785,537.06675824223,54.4028107892421,-308.358762179831,48.485260099219,27.4288873928307,-197.189736625057,39.1854597230475
-86.9736381513333,-384.595568816502,1097.20320922607,-92.7832417020535,-361.623103731862,1177.04898905889,-102.198038979079,-303.412974071883,1279.278183193,-108.805331751464,-230.722703678726,1396.02509355842,-118.136926289343,-163.096097666696,1515.59489037249,-122.582880656782,-48.3491515185306,1577.70360426318,-145.35127139907,-187.594125501145,1429.27432628064,-309.434603415448,-198.699578774043,1407.13574113155,-368.51133714979,-140.817346245699,1160.54310758215,-336.905806145035,-63.2458174018409,1063.36867394662,-305.300275140281,14.3257114420177,966.194240311091,-90.4192626736331,-178.706942214124,1427.35276674153,72.2473477939599,-153.754025521743,1385.67087075627,154.963901354672,-120.52059474909,1153.65493307508,98.5262269092186,-27.3051301445955,1067.76388022862,42.0885524637658,65.9103344599004,981.87282738215,-192.62200100599,-421.060442846143,1044.75117513782,-323.331928288883,-281.289729182754,548.624599785979,-247.738591770532,-447.163244101839,73.5002889979506,-313.221098660684,-352.487764546485,44.0084140118151,13.8798127608518,-329.24812934908,1052.39559965621,11.2738134242925,-212.630311026404,536.072906897686,54.4258472606017,-308.445101747288,47.6172615408801,27.3314180894312,-197.261024962725,38.8637450656061
-84.4654810441362,-383.981208482906,1096.59749355306,-90.8100312403246,-361.042233517828,1176.41218087909,-100.789390902587,-302.780782326786,1278.55855341358,-107.550042977396,-230.105097687401,1395.30576431474,-117.288012243887,-161.973926613625,1514.55629173564,-121.776360829474,-47.6745368503098,1577.48184082686,-144.309045569776,-186.976933331138,1428.31983108385,-308.310306619775,-196.835747276571,1405.01365053027,-371.401242816816,-145.383936930444,1157.9901997935,-338.320345344556,-64.4634117738566,1064.09320803943,-305.239447872294,16.4571133827314,970.196216285366,-89.4121607379801,-177.871728650249,1426.4152881112,72.1919862856539,-150.441105927871,1382.23253958619,160.113500404806,-119.381470573972,1151.83507671248,99.8854432528127,-25.3637327352701,1069.4648575753,39.657386100819,68.6540051034335,987.094638438127,-189.467865740818,-421.87899627244,1043.86480558315,-326.224265635716,-282.350343146942,549.30241487457,-250.857649306982,-448.937671293334,74.391874431856,-314.476024264338,-353.09545686591,44.590060237314,15.7710825571163,-327.322211731855,1052.04562606764,11.8181540023728,-210.592815148948,535.756702915568,54.179097057246,-308.507982604384,47.648456609786,27.1974107749872,-197.284350539518,39.0505877520409
-82.6707179636357,-383.735318543436,1095.73126897196,-89.0185401803042,-360.706619064126,1175.51985434599,-99.2776481667936,-301.838337886554,1277.28989861556,-106.45051014238,-228.460294736625,1393.57225171373,-116.503758191057,-160.238933101633,1512.74502892322,-121.10754124475,-46.5260824590416,1576.71621995522,-143.452868358982,-185.527747503756,1426.56942297841,-307.441998103719,-197.452382005869,1404.16057856484,-371.948104675595,-148.542797627888,1156.98623725303,-337.977113308271,-65.912716716281,1064.91363707407,-304.006121940947,16.7173641953269,972.841036895116,-88.6179872517681,-176.070556454326,1424.59525179452,73.3103463106861,-148.817893678801,1381.50277186208,164.238361669235,-119.867142543039,1151.99931976691,101.779754302174,-25.0388135115311,1072.26151646022,39.3211469351123,69.7895155199784,992.523713153534,-187.530250113493,-422.356656076377,1043.23983827759,-327.32108613882,-281.636149692567,549.864952916529,-252.948591838687,-450.063990863072,75.447119578018,-316.778562209027,-354.506784671152,45.186071097015,17.1426875084282,-326.539150263742,1050.91651789542,11.1945972276825,-209.544564093404,534.706757362809,54.7288793930742,-308.528739818878,46.9174700077839,27.386811454956,-197.375126716074,38.5558500517202
-80.8666924187051,-383.631650122982,1095.13648088567,-87.2717268610094,-360.531716075898,1174.89989846169,-97.8485310092626,-301.199247186831,1276.36740599807,-105.382991799014,-227.290965233162,1392.29052951856,-115.73316774712,-158.893664926173,1511.33697413595,-120.302792389993,-45.8381581869264,1576.46524317697,-142.578564957849,-184.468494236028,1425.21342052236,-306.495112056107,-197.950594878986,1403.15924994095,-372.033971495322,-151.591579551068,1155.76515172264,-337.482994079652,-67.3456643816735,1065.38828539865,-302.93201666398,16.9002507877214,975.011419074663,-87.7883927129382,-174.761142719817,1423.212332727,73.9828507200104,-146.722176370394,1380.03437736073,166.861659924554,-118.012674364207,1151.28303684604,101.130309860767,-23.2150530128206,1074.18305304431,35.3989597969775,71.582568338568,997.083069242573,-185.567455891655,-422.855400365126,1042.77497749831,-328.063480985533,-281.611959601881,550.324279933137,-255.64768890012,-451.921474502223,76.2756449066875,-319.911737065321,-356.672724899643,45.9609019518374,18.6199671670428,-325.985781621952,1050.17162904456,11.6188638226247,-207.996345032075,534.201564752592,54.6176416943855,-308.442858533432,46.6637788805762,27.2871122079214,-197.275943799316,38.4424468888936
-79.1629421225614,-383.178091678047,1094.63258027705,-85.6356277219797,-360.141643529555,1174.40889631399,-96.467603983955,-300.646482629688,1275.75414709501,-104.521914111006,-226.674347000124,1391.6015641843,-115.435203804723,-157.995375460418,1510.43536318018,-119.561456014157,-45.346255608001,1576.29331897068,-141.960768217313,-183.900702774456,1424.31148622373,-305.775683278219,-197.037789121079,1401.31412862974,-374.142707425092,-155.59280970022,1153.81341363659,-338.50150155767,-68.9965542540275,1066.12125197623,-302.860295690247,17.5997011921653,978.429090315881,-87.20160521864,-173.997005529694,1422.42711656257,73.8514551507344,-144.44669223399,1377.60362500756,171.383708702406,-117.450906014114,1150.58694822925,102.033030372358,-22.7239313243431,1076.63500046178,32.6823520423087,72.0030433654296,1002.68305269431,-183.679272447695,-422.985314770841,1042.34299071211,-328.191765526577,-281.457497503458,550.562010455378,-258.573316489256,-454.104532550002,76.9400525367628,-323.859570292762,-359.599652404414,46.4817446253698,19.9543471678989,-324.946897496804,1049.60624931616,12.1445292187201,-206.417153500311,533.771647557016,54.6932011505961,-308.683810136364,46.572888236605,27.4693800798963,-197.491055983166,38.3469497875843
-78.0264770348367,-382.934820643503,1093.80189993196,-84.6014658007521,-359.914805965608,1173.57459356549,-95.6444807006455,-299.954696637669,1274.62261604694,-103.908757464239,-225.377299690823,1390.06648293336,-115.171505842559,-156.516103677287,1508.76213993072,-119.229006712824,-44.6045488888443,1575.86997176311,-141.571762837604,-182.739201173238,1422.69594842106,-305.302004475684,-197.437467427679,1400.04298321458,-375.342032822328,-159.987636131871,1152.37335488455,-338.408188561859,-71.1350219132658,1067.51920752383,-301.47434430139,17.7175923053401,982.665060163115,-86.8670104120025,-172.544823666246,1420.78160003333,74.0415247426924,-142.152648037675,1376.00198815102,174.352717062936,-116.879138104325,1150.00022071787,102.1213453096,-21.9166423981129,1079.17395270101,29.8899735562642,73.0458533081008,1008.34768468415,-182.358029164513,-423.243863632752,1041.52774020303,-328.778413833733,-281.207877932492,550.458126015701,-261.769469942652,-456.779966409724,77.5355854599221,-328.330866831205,-363.13240572454,47.189405308007,20.811581205562,-324.244971463999,1048.75726275486,12.0000583772339,-203.759814696881,533.392038952803,54.6850704601649,-308.722649916978,46.7789661813555,27.3928661589301,-197.553867701071,38.456195113864
-77.4335994001469,-382.508366586569,1093.3578322328,-83.7643863685099,-359.343768810851,1173.10842313244,-94.6967791176454,-299.371873988592,1274.16148026738,-103.044223718811,-225.196960964126,1389.85839143585,-114.784805460482,-156.432861024579,1508.56403623572,-118.728016229927,-44.6419395308328,1575.87942423973,-140.965677365447,-182.771941976448,1422.46625174872,-304.55276088406,-197.291719734767,1398.69168445256,-376.005344209358,-163.241980652866,1150.93477973221,-338.714154778286,-72.3812934369852,1068.39494123512,-301.422965347213,18.4793937788985,985.855102738034,-86.3148783441274,-172.282712372151,1420.60447058793,73.8142985755582,-139.583240188505,1374.67141186839,177.036912776408,-116.219968012135,1149.77780608396,101.873099638345,-21.3550166545226,1081.9349796704,26.7092865002799,73.509934703092,1014.09215325683,-181.909325499883,-422.97717608428,1041.49669451261,-329.038323207206,-282.286249072038,550.251707414833,-264.360384093855,-459.104837958644,77.469054395936,-332.940531701105,-366.747999972587,47.6671474227566,21.2226817135657,-323.8433188844,1047.88443488032,12.4011477158475,-203.150798714546,532.567905014193,54.8194120818982,-308.663595902723,46.0504540386613,27.5046733015447,-197.472701279658,38.1055769777081
-74.9378490643455,-383.398374608905,1092.96495880672,-81.3622300939774,-359.537166586871,1172.50239830981,-93.1226710097405,-298.812279870767,1273.01133273303,-102.643213840184,-224.157596558474,1388.30838530263,-114.754698239781,-155.25057101868,1506.89382532112,-118.540404390377,-44.3633961928491,1575.69661152786,-140.747881877053,-181.813780457305,1420.80803066613,-304.2914485288,-197.625181352736,1397.56390670014,-377.10887663949,-167.019426730499,1149.75500819292,-338.494057241525,-74.4332801514858,1069.78111611455,-299.879237843558,18.1528664275284,989.807224036172,-86.1317125320945,-171.138037278092,1418.99073759531,74.0516185754603,-138.307882091202,1373.34058960989,179.460489570266,-116.312772686436,1149.32480987588,101.673196737027,-21.0432902622172,1085.102775576,23.8859039037847,74.2261921620006,1020.88074127613,-179.743478647909,-422.583371833402,1040.7845458918,-329.353655448072,-283.332686792474,549.878691402296,-267.784387906814,-463.042625742028,77.7716597700955,-337.629540017278,-371.299990353589,49.0293667769623,24.9080908577336,-326.658410270786,1047.64560069291,12.4193852212182,-201.705935359738,533.42138783881,54.6401508193928,-308.600728951342,47.1885221444564,27.3617554753527,-197.44567851997,38.6401314021322
